계수,이름,도면층,블록 단위,색상,위치 X,위치 Y,위치 Z,주석,회전,각도,길이,끝 X,끝 Y,끝 Z,델타 X,델타 Y,델타 Z,시작 X,시작 Y,시작 Z,면적,반지름,시작 각도,전체 각도,중심점 X,중심점 Y,중심점 Z
1,선,W,,ByLayer,,,,,,270.00,6.96,9.48,5.36,0.00,0.00,-6.96,0.00,9.48,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,16.18,12.32,0.00,0.00,6.96,0.00,16.18,5.36,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,15.98,5.36,0.00,0.00,-6.96,0.00,15.98,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,12.93,12.32,0.00,0.00,6.96,0.00,12.93,5.36,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,0.00,59.58,62.12,4.86,0.00,59.58,0.00,0.00,2.54,4.86,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,20.37,62.12,25.23,0.00,0.00,20.37,0.00,62.12,4.86,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,59.58,2.54,25.23,0.00,-59.58,0.00,0.00,62.12,25.23,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,6.96,6.43,12.32,0.00,0.00,6.96,0.00,6.43,5.36,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,6.23,5.36,0.00,0.00,-6.96,0.00,6.23,12.32,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,20.37,2.54,4.86,0.00,0.00,-20.37,0.00,2.54,25.23,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,270.00,6.96,32.24,5.36,0.00,0.00,-6.96,0.00,32.24,12.32,0.00,,,,,,,
