계수,이름,도면층,블록 단위,색상,위치 X,위치 Y,위치 Z,주석,회전,각도,길이,끝 X,끝 Y,끝 Z,델타 X,델타 Y,델타 Z,시작 X,시작 Y,시작 Z,면적,반지름,시작 각도,전체 각도,중심점 X,중심점 Y,중심점 Z
1,선,W,,ByLayer,,,,,,90.00,0.20,20.28,16.15,0.00,0.00,0.20,0.00,20.28,15.95,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,0.20,22.21,16.15,0.00,0.00,0.20,0.00,22.21,15.95,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,90.00,0.20,33.96,16.15,0.00,0.00,0.20,0.00,33.96,15.95,0.00,,,,,,,
1,선,CEN,,ByLayer,,,,,,90.00,11.45,29.46,25.98,0.00,0.00,11.45,0.00,29.46,14.53,0.00,,,,,,,
1,선,CEN,,ByLayer,,,,,,90.00,11.44,32.16,25.98,0.00,0.00,11.44,0.00,32.16,14.54,0.00,,,,,,,
1,doorBlock,DR,미터,ByLayer,33.96,16.05,0.00,,0.00,,,,,,,,,,,,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,0.50,3.04,16.15,0.00,-0.50,0.00,0.00,3.53,16.15,0.00,,,,,,,
1,선,CEN,,ByLayer,,,,,,180.00,60.60,1.98,16.05,0.00,-60.60,0.00,0.00,62.58,16.05,0.00,,,,,,,
1,선,CEN,,ByLayer,,,,,,180.00,60.64,1.96,12.42,0.00,-60.64,0.00,0.00,62.60,12.42,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,0.00,0.05,34.96,16.05,0.00,0.05,0.00,0.00,34.91,16.05,0.00,,,,,,,
1,호,DR,,ByLayer,,,,,,,1.53,,,,,,,,,,0.26,1.00,92.58,87.42,34.96,16.05,0.00
1,doorBlock,DR,미터,ByLayer,34.36,12.42,0.00,,180.00,,,,,,,,,,,,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,34.96,17.05,0.00,0.00,1.00,0.00,34.96,16.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,180.00,0.05,34.91,17.05,0.00,-0.05,0.00,0.00,34.96,17.05,0.00,,,,,,,
1,선,DR,,ByLayer,,,,,,90.00,1.00,34.91,16.05,0.00,0.00,-1.00,0.00,34.91,17.05,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,0.20,29.36,18.09,0.00,-0.20,0.00,0.00,29.56,18.09,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,0.20,29.36,16.99,0.00,-0.20,0.00,0.00,29.56,16.99,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,7.15,22.21,16.15,0.00,-7.15,0.00,0.00,29.36,16.15,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,0.20,29.36,23.35,0.00,-0.20,0.00,0.00,29.56,23.35,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,0.20,29.36,20.69,0.00,-0.20,0.00,0.00,29.56,20.69,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,0.20,29.36,19.59,0.00,-0.20,0.00,0.00,29.56,19.59,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,1.70,32.26,16.15,0.00,-1.70,0.00,0.00,33.96,16.15,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,7.82,12.46,16.15,0.00,-7.82,0.00,0.00,20.28,16.15,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,6.00,4.53,16.15,0.00,-6.00,0.00,0.00,10.53,16.15,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,6.17,46.02,16.15,0.00,-6.17,0.00,0.00,52.19,16.15,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,4.60,39.49,16.15,0.00,-4.60,0.00,0.00,44.09,16.15,0.00,,,,,,,
1,선,W,,ByLayer,,,,,,180.00,2.60,34.96,16.15,0.00,-2.60,0.00,0.00,37.56,16.15,0.00,,,,,,,
35,회전된 치수,DIM,,ByLayer,,,,,,,,,,,,,,,,,,,,,,,
